from;to;relation
MF;DB;1
MF;FS;1
MF;MA;1
ME;BW;1
ME;RV;1
CW;AfD;1
GS;CW;2
CW;GS;2
CW;ÖSG;1
CW;VP;3
RHL;AfD;1
RvP;BW;1
RvP;VetPo;1
RvP;MA;1
RvP;FS;1
MF;CP;1
CW;CP;1
GS;CP;1
RvP;CP;1
PG;CP;1
MvH;BW;1
MvH;CP;1
MR;MF;4
MF;MR;4
PW;FS;1
PW;BW;1
PW;RvP;2
RR;CP;1
BMW;AfD;1
BMW;BLG;1
BMW;BT;1
MF;Rat;1
PG;Rat;1
MR;Rat;1
RR;Rat;1
BMW;Rat;1
AM;BW;1
ME;KH;2
KH;ME;2
KH ;CP;1
BMW;QA;1
ME;QA;1
ME;HPR;3
HPR;ME;3
PW;ME;2
ME;PW;2
CW;SRO;1
FR;CW;3
CW;FR;3
FR;CDU;1
MF;PO;1
IG;PO;1
SSB;PO;1
AQ;QA;1
TT;HPR;2
HPR;TT;2
